Index,Hogwarts House
0.0,Ravenclaw
1.0,Slytherin
2.0,Ravenclaw
3.0,Gryffindor
4.0,Gryffindor
5.0,Slytherin
6.0,Gryffindor
7.0,Hufflepuff
8.0,Gryffindor
9.0,Hufflepuff
10.0,Hufflepuff
11.0,Hufflepuff
12.0,Hufflepuff
13.0,Slytherin
14.0,Ravenclaw
15.0,Ravenclaw
16.0,Gryffindor
17.0,Gryffindor
18.0,Ravenclaw
19.0,Hufflepuff
20.0,Gryffindor
21.0,Gryffindor
22.0,Ravenclaw
23.0,Hufflepuff
24.0,Ravenclaw
25.0,Hufflepuff
26.0,Slytherin
27.0,Hufflepuff
28.0,Gryffindor
29.0,Hufflepuff
30.0,Hufflepuff
31.0,Gryffindor
32.0,Ravenclaw
33.0,Hufflepuff
34.0,Ravenclaw
35.0,Ravenclaw
36.0,Hufflepuff
37.0,Hufflepuff
38.0,Slytherin
39.0,Gryffindor
40.0,Gryffindor
41.0,Hufflepuff
42.0,Ravenclaw
43.0,Hufflepuff
44.0,Hufflepuff
45.0,Ravenclaw
46.0,Ravenclaw
47.0,Hufflepuff
48.0,Slytherin
49.0,Gryffindor
50.0,Gryffindor
51.0,Slytherin
52.0,Slytherin
53.0,Ravenclaw
54.0,Gryffindor
55.0,Slytherin
56.0,Hufflepuff
57.0,Slytherin
58.0,Hufflepuff
59.0,Gryffindor
60.0,Slytherin
61.0,Ravenclaw
62.0,Hufflepuff
63.0,Hufflepuff
64.0,Hufflepuff
65.0,Hufflepuff
66.0,Hufflepuff
67.0,Ravenclaw
68.0,Gryffindor
69.0,Hufflepuff
70.0,Ravenclaw
71.0,Slytherin
72.0,Slytherin
73.0,Hufflepuff
74.0,Ravenclaw
75.0,Hufflepuff
76.0,Ravenclaw
77.0,Ravenclaw
78.0,Hufflepuff
79.0,Hufflepuff
80.0,Hufflepuff
81.0,Slytherin
82.0,Slytherin
83.0,Gryffindor
84.0,Hufflepuff
85.0,Hufflepuff
86.0,Hufflepuff
87.0,Hufflepuff
88.0,Hufflepuff
89.0,Gryffindor
90.0,Gryffindor
91.0,Gryffindor
92.0,Ravenclaw
93.0,Hufflepuff
94.0,Hufflepuff
95.0,Hufflepuff
96.0,Gryffindor
97.0,Ravenclaw
98.0,Slytherin
99.0,Hufflepuff
100.0,Gryffindor
101.0,Hufflepuff
102.0,Ravenclaw
103.0,Hufflepuff
104.0,Ravenclaw
105.0,Gryffindor
106.0,Slytherin
107.0,Gryffindor
108.0,Hufflepuff
109.0,Slytherin
110.0,Slytherin
111.0,Ravenclaw
112.0,Ravenclaw
113.0,Ravenclaw
114.0,Ravenclaw
115.0,Gryffindor
116.0,Ravenclaw
117.0,Slytherin
118.0,Hufflepuff
119.0,Hufflepuff
120.0,Ravenclaw
121.0,Slytherin
122.0,Ravenclaw
123.0,Hufflepuff
124.0,Hufflepuff
125.0,Slytherin
126.0,Hufflepuff
127.0,Slytherin
128.0,Slytherin
129.0,Hufflepuff
130.0,Slytherin
131.0,Gryffindor
132.0,Slytherin
133.0,Hufflepuff
134.0,Ravenclaw
135.0,Ravenclaw
136.0,Ravenclaw
137.0,Ravenclaw
138.0,Hufflepuff
139.0,Gryffindor
140.0,Gryffindor
141.0,Ravenclaw
142.0,Gryffindor
143.0,Hufflepuff
144.0,Gryffindor
145.0,Gryffindor
146.0,Slytherin
147.0,Gryffindor
148.0,Gryffindor
149.0,Gryffindor
150.0,Ravenclaw
151.0,Gryffindor
152.0,Gryffindor
153.0,Slytherin
154.0,Slytherin
155.0,Hufflepuff
156.0,Gryffindor
157.0,Hufflepuff
158.0,Ravenclaw
159.0,Ravenclaw
160.0,Hufflepuff
161.0,Hufflepuff
162.0,Hufflepuff
163.0,Slytherin
164.0,Ravenclaw
165.0,Hufflepuff
166.0,Hufflepuff
167.0,Hufflepuff
168.0,Slytherin
169.0,Gryffindor
170.0,Ravenclaw
171.0,Gryffindor
172.0,Gryffindor
173.0,Ravenclaw
174.0,Hufflepuff
175.0,Gryffindor
176.0,Ravenclaw
177.0,Hufflepuff
178.0,Ravenclaw
179.0,Ravenclaw
180.0,Slytherin
181.0,Hufflepuff
182.0,Ravenclaw
183.0,Slytherin
184.0,Slytherin
185.0,Hufflepuff
186.0,Hufflepuff
187.0,Slytherin
188.0,Hufflepuff
189.0,Gryffindor
190.0,Slytherin
191.0,Hufflepuff
192.0,Ravenclaw
193.0,Hufflepuff
194.0,Slytherin
195.0,Hufflepuff
196.0,Hufflepuff
197.0,Ravenclaw
198.0,Gryffindor
199.0,Slytherin
200.0,Hufflepuff
201.0,Gryffindor
202.0,Ravenclaw
203.0,Ravenclaw
204.0,Gryffindor
205.0,Hufflepuff
206.0,Gryffindor
207.0,Hufflepuff
208.0,Hufflepuff
209.0,Ravenclaw
210.0,Hufflepuff
211.0,Gryffindor
212.0,Slytherin
213.0,Slytherin
214.0,Ravenclaw
215.0,Hufflepuff
216.0,Gryffindor
217.0,Ravenclaw
218.0,Gryffindor
219.0,Gryffindor
220.0,Hufflepuff
221.0,Hufflepuff
222.0,Gryffindor
223.0,Slytherin
224.0,Gryffindor
225.0,Ravenclaw
226.0,Hufflepuff
227.0,Gryffindor
228.0,Hufflepuff
229.0,Hufflepuff
230.0,Hufflepuff
231.0,Gryffindor
232.0,Hufflepuff
233.0,Ravenclaw
234.0,Hufflepuff
235.0,Hufflepuff
236.0,Slytherin
